original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,392827.0,393282.0,19.658338658146967,20.088338658146967,,5,Stark
1,394780.0,394850.0,21.57,21.64,,2,He
2,394852.0,395016.0,21.640999999999995,21.82999999999999,He,7,doesn't
4,395018.0,395243.0,21.830999999999992,22.039999999999992,He doesn't,15,seem
5,395245.0,395607.0,22.041,22.41,He doesn't seem,21,happy
6,396042.0,396260.0,22.79,23.04,,5,Hello
7,396262.0,396632.0,23.041,23.37054313099041,Hello,10,Hank
8,399267.0,399389.0,26.01,26.12,Hello Hank,14,you're
10,399391.0,399593.0,26.120999999999995,26.32,Hello Hank you're,26,supposed
11,399595.0,399696.0,26.32099999999999,26.36999999999999,Hello Hank you're supposed,29,to
12,399698.0,399759.0,26.370999999999988,26.44,Hello Hank you're supposed to,32,be
13,399761.0,399881.0,26.440999999999995,26.56,Hello Hank you're supposed to be,35,in
14,399883.0,400580.0,26.561,27.19290734824281,Hello Hank you're supposed to be in,42,Moscow
15,401011.0,401128.0,27.72,27.82,,1,I
16,401131.0,401328.0,27.82141533546326,28.026932907348247,I,6,took
17,401316.0,401457.0,28.02099999999999,28.08999999999999,I took,8,a
18,401482.0,402210.0,28.201000000000008,28.8,I took a,15,detour
19,403849.0,404146.0,30.5,30.73,I took a detour,23,through
20,404148.0,404369.0,30.730999999999995,30.94,I took a detour through,28,your
21,404371.0,404888.0,30.941,31.509999999999994,I took a detour through your,36,defense
22,404890.0,405460.0,31.511,31.98,I took a detour through your defense,40,lab
23,406744.0,406912.0,33.31,33.5,,4,Tell
24,406915.0,407138.0,33.501,33.61,Tell,7,me
25,407140.0,407215.0,33.611,33.69,Tell me,12,that
26,407215.0,407338.0,33.69,33.850000000000016,Tell me that,15,isn't
28,407338.0,407449.0,33.850000000000016,34.010000000000026,Tell me that isn't,23,what
29,407449.0,407622.0,34.01000000000001,34.14,Tell me that isn't what,25,I
30,407624.0,407788.0,34.141,34.32000000000001,Tell me that isn't what I,31,think
31,407790.0,407907.0,34.321000000000005,34.419999999999995,Tell me that isn't what I think,34,it
32,407907.0,408221.0,34.419999999999995,34.68293929712458,Tell me that isn't what I think it,37,is
33,409304.0,409994.0,35.81,36.4,,7,Depends
34,409996.0,410002.0,36.401,36.44555910543133,Depends,10,if
35,409999.0,410059.0,36.44415335463261,36.540000000000006,Depends if,14,you
36,410070.0,410356.0,36.54502555910544,36.760000000000005,Depends if you,20,think
37,410358.0,410501.0,36.761,36.940000000000005,Depends if you think,23,it's
39,410503.0,410583.0,36.941,36.98000000000001,Depends if you think it's,27,a
40,410676.0,411049.0,37.08999999999999,37.5,Depends if you think it's a,32,poor
41,411049.0,411419.0,37.5,37.84680511182111,Depends if you think it's a poor,40,attempt
42,411507.0,411683.0,37.93183067092652,38.06,Depends if you think it's a poor attempt,43,to
43,411685.0,412206.0,38.061,38.63,Depends if you think it's a poor attempt to,53,replicate
44,412208.0,412470.0,38.63100000000001,38.86,Depends if you think it's a poor attempt to replicate,56,my
