original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,415356.0,416087.0,126.09424895272296,126.46,,7,Alright
1,416107.0,416656.0,126.47,126.73,Alright,12,team
2,416658.0,417071.0,126.731,126.94,Alright team,17,stay
3,417073.0,417262.0,126.94084979054456,127.03478755236388,Alright team stay,20,in
4,417255.0,417795.0,127.031,127.28505685218435,Alright team stay in,26,sight
5,417787.0,417989.0,127.28143028126868,127.39,Alright team stay in sight,29,of
6,417991.0,418299.0,127.391,127.54,Alright team stay in sight of,34,each
7,418301.0,418853.0,127.541,127.81,Alright team stay in sight of each,40,other
8,419781.0,420079.0,128.25733093955716,128.40733093955717,,3,Let
9,420079.0,420277.0,128.40733093955717,128.50733093955716,Let,6,us
10,420276.0,420729.0,128.50706223818077,128.72,Let us,11,make
11,420732.0,421406.0,128.721,129.06,Let us make,16,NASA
12,421408.0,422056.0,129.061,129.37,Let us make NASA,22,proud
13,422058.0,422669.0,129.371,129.67,Let us make NASA proud,28,today
14,425242.0,425624.0,130.91606223818073,131.11,,3,How's
16,425626.0,425747.0,131.111,131.17,How's,8,it
17,425749.0,426177.0,131.171,131.38,How's it,16,looking
18,426179.0,426461.0,131.381,131.53,How's it looking,21,over
19,426463.0,426807.0,131.531,131.69,How's it looking over,27,there
20,426809.0,427565.0,131.691,132.07,How's it looking over there,34,Watney
21,428396.0,428769.0,132.46,132.65,,4,Well
22,428771.0,429119.0,132.651,132.82,Well,8,you'll
24,429121.0,429441.0,132.821,132.97,Well you'll,14,be
25,429443.0,430140.0,132.971,133.32,Well you'll be,20,happy
26,430142.0,430332.0,133.321,133.42,Well you'll be happy,23,to
27,430334.0,430992.0,133.421,133.72,Well you'll be happy to,28,hear
28,430994.0,431528.0,133.721,133.99,Well you'll be happy to hear,33,that
29,431530.0,432240.0,133.991,134.34273488928778,Well you'll be happy to hear that,36,in
30,433324.0,433776.0,134.86,135.09,Well you'll be happy to hear that in,41,grid
31,433778.0,434954.0,135.091,135.67,Well you'll be happy to hear that in grid,49,section
32,435479.0,437359.0,135.92,136.85,Well you'll be happy to hear that in grid section,54,1428
33,437362.0,437651.0,136.851,136.98,Well you'll be happy to hear that in grid section 1428,58,the
34,437653.0,438875.0,136.981,137.58,Well you'll be happy to hear that in grid section 1428 the,68,particles
35,438877.0,439646.0,137.581,137.96,Well you'll be happy to hear that in grid section 1428 the particles,73,were
36,440278.0,441657.0,138.2577618192699,138.94,Well you'll be happy to hear that in grid section 1428 the particles were,87,predominantly
37,441659.0,443028.0,138.941,139.61,Well you'll be happy to hear that in grid section 1428 the particles were predominantly,94,coarse
38,443413.0,443665.0,139.79,139.92,Well you'll be happy to hear that in grid section 1428 the particles were predominantly coarse,98,but
39,443667.0,444030.0,139.921,140.1,Well you'll be happy to hear that in grid section 1428 the particles were predominantly coarse but,101,in
40,444032.0,445461.0,140.101,140.81,Well you'll be happy to hear that in grid section 1428 the particles were predominantly coarse but in,104,29
