original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,813707.0,813973.0,117.49,117.63021276595742,,4,What'd
2,813984.0,814105.0,117.63546808510635,117.69446808510637,What'd,10,the
3,814163.0,814791.0,117.70610638297872,118.01319148936167,What'd the,17,doctor
4,814819.0,815395.0,118.0269574468085,118.3,What'd the doctor,21,say
5,815727.0,817078.0,118.47829787234043,119.1306382978723,,7,Nothing
6,817716.0,818855.0,119.45,119.99,,10,Supposedly
7,818889.0,819127.0,120.01440425531916,120.1300000000001,Supposedly,13,it's
9,819127.0,819377.0,120.1300000000001,120.2534042553192,Supposedly it's,20,just
10,819390.0,819479.0,120.2597872340426,120.31191489361706,Supposedly it's just,22,a
11,819542.0,820092.0,120.34255319148936,120.60212765957444,Supposedly it's just a,29,twenty
12,820092.0,820482.0,120.60212765957444,120.80212765957444,Supposedly it's just a twenty,34,four
13,820482.0,820893.0,120.80212765957444,121.00212765957444,Supposedly it's just a twenty four,39,hour
14,821067.0,822216.0,121.08,121.64,Supposedly it's just a twenty four hour,43,bug
15,822360.0,822544.0,121.71,121.81,,2,He
16,822546.0,822955.0,121.811,122.01,He,7,gave
17,822957.0,823024.0,122.011,122.04382978723402,He gave,10,me
18,823044.0,823417.0,122.0533404255319,122.2259574468085,He gave me,15,some
19,823489.0,824389.0,122.261,122.70170212765954,He gave me some,21,pills
20,824398.0,824555.0,122.7059574468084,122.78191489361689,,1,I
21,824555.0,824945.0,122.78191489361689,122.98191489361687,I,6,told
22,824945.0,825169.0,122.98191489361687,123.08297872340408,I told,10,you
23,825186.0,825376.0,123.09148936170196,123.18404255319128,,3,You
24,825376.0,826102.0,123.18404255319128,123.54787234042531,You,12,probably
25,826370.0,826727.0,123.67,123.83531914893614,You probably,17,just
26,826750.0,826992.0,123.8469574468085,123.98170212765956,You probably just,21,ate
27,827031.0,827360.0,124.00185106382978,124.17,You probably just ate,26,some
28,827410.0,827909.0,124.19440425531916,124.43,You probably just ate some,30,bad
29,827911.0,828783.0,124.431,124.84,You probably just ate some bad,38,gristle
30,829373.0,829563.0,125.15255319148936,125.23,,2,We
31,829565.0,829875.0,125.231,125.39,We,7,take
32,829877.0,830016.0,125.391,125.46,We take,11,the
33,830018.0,830525.0,125.461,125.7,We take the,17,short
34,830528.0,830787.0,125.701,125.83531914893616,We take the short,21,cut
35,830837.0,830983.0,125.8597234042553,125.93,We take the short cut,24,or
36,830985.0,831220.0,125.931,126.03,We take the short cut or,28,the
37,831222.0,831860.0,126.031,126.36,We take the short cut or the,35,scenic
38,831901.0,832339.0,126.38,126.58531914893612,We take the short cut or the scenic,41,route
39,832919.0,833246.0,126.86,127.02,,3,Let's
41,833267.0,833576.0,127.03,127.19,Let's,10,take
42,833578.0,833740.0,127.191,127.27,Let's take,14,the
43,833742.0,834255.0,127.271,127.53,Let's take the,20,short
44,834258.0,834804.0,127.531,127.79,Let's take the short,24,cut
45,835808.0,836134.0,128.2808510638298,128.4308510638298,,3,But
46,836255.0,836405.0,128.49,128.58,But,7,the
47,836407.0,837368.0,128.581,129.05234042553164,But the,14,scenic
48,837463.0,837791.0,129.09,129.25,But the scenic,20,route
49,837793.0,837997.0,129.251,129.35,But the scenic route,23,is
50,837999.0,838456.0,129.351,129.59,But the scenic route is,26,so
51,838458.0,838961.0,129.591,129.82,But the scenic route is so,31,much
52,839003.0,839520.0,129.84014893617027,130.0855319148936,But the scenic route is so much,40,prettier
53,839537.0,840362.0,130.10234042553196,130.51234042553182,,4,Okay
54,840351.0,841171.0,130.5069574468085,130.89234042553207,Okay,8,let's
56,841289.0,841641.0,130.95,131.13,Okay let's,15,take
57,841647.0,841932.0,131.13312765957446,131.2721276595745,Okay let's take,19,the
58,841930.0,842664.0,131.271,131.63,Okay let's take the,26,scenic
59,842666.0,843175.0,131.631,131.88659574468073,Okay let's take the scenic,32,route
60,843285.0,843825.0,131.94,132.18,,5,Great
61,844110.0,844235.0,132.33595744680858,132.40595744680857,Great,8,It's
63,844289.0,844855.0,132.43248936170218,132.7,Great It's,19,actually
