original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,2150901.0,2151274.0,34.82747603833866,34.99984025559103,,3,The
1,2151274.0,2152357.0,34.99984025559103,35.527795527156265,The,9,world
2,2152357.0,2152700.0,35.527795527156265,35.71405750798687,The world,12,is
3,2152697.0,2154210.0,35.712460063897765,36.442651757188216,The world is,20,changed
4,2157420.0,2157778.0,38.01277955271566,38.1777955271565,,1,I
5,2157773.0,2158553.0,38.17571884984026,38.56741214057504,I,6,feel
6,2158555.0,2158984.0,38.56869009584665,38.76773162939293,I feel,9,it
7,2158982.0,2159341.0,38.766773162939295,38.93067092651751,I feel it,12,in
8,2159346.0,2159649.0,38.932907348242814,39.09249201277963,I feel it in,16,the
9,2159649.0,2160866.0,39.09265175718842,39.68769968051096,I feel it in the,22,water
10,2165068.0,2165368.0,41.74440894568684,41.89664536741215,,1,I
11,2165358.0,2166079.0,41.89137380191693,42.23642172523957,I,6,feel
12,2166072.0,2166428.0,42.23322683706071,42.4162939297124,I feel,9,it
13,2166426.0,2166703.0,42.41533546325879,42.53130990415334,I feel it,12,in
14,2166722.0,2167005.0,42.54089456869007,42.68769968051116,I feel it in,16,the
15,2167003.0,2168288.0,42.68690095846645,43.30750798722028,I feel it in the,22,earth
16,2174217.0,2174486.0,46.21405750798724,46.34712460063897,,1,I
17,2174482.0,2175434.0,46.34504792332268,46.809105431309845,I,7,smell
18,2175433.0,2176008.0,46.808306709265175,47.09041533546318,I smell,10,it
19,2176085.0,2176455.0,47.12779552715653,47.307667731629365,I smell it,13,in
20,2176473.0,2176887.0,47.31629392971243,47.5110223642173,I smell it in,17,the
21,2176907.0,2177952.0,47.52076677316288,48.031789137380166,I smell it in the,21,air
22,2181220.0,2181879.0,49.63578274760384,49.95079872204464,,4,Much
23,2181882.0,2182290.0,49.95207667731629,50.16166134185303,Much,9,that
24,2182293.0,2182855.0,50.1629392971246,50.42683706070282,Much that,14,once
25,2182851.0,2183883.0,50.42492012779553,50.92955271565489,Much that once,18,was
26,2185541.0,2185884.0,51.74760383386578,51.90830670926516,Much that once was,21,is
27,2185928.0,2187136.0,51.92971246006383,52.51948881789125,Much that once was is,26,lost
28,2190221.0,2190659.0,54.00958466453675,54.2330670926517,,3,For
29,2190646.0,2191339.0,54.22683706070288,54.57380191693293,For,8,none
30,2191355.0,2192015.0,54.58146964856229,54.90399361022365,For none,12,now
31,2192015.0,2192952.0,54.90415335463259,55.369329073482405,For none now,17,live
32,2194589.0,2195027.0,56.16293929712458,56.36725239616604,For none now live,21,who
33,2195034.0,2195979.0,56.37060702875392,56.83450479233224,For none now live who,30,remember
34,2196179.0,2196629.0,56.936102236421625,57.16070287539923,For none now live who remember,33,it
35,2223017.0,2223359.0,70.04,70.19958466453673,,2,It
36,2223387.0,2224731.0,70.2133642172524,70.87,It,8,began
37,2224733.0,2225043.0,70.871,71.03083067092653,It began,13,with
38,2225045.0,2225260.0,71.03183067092654,71.1380511182109,It began with,17,the
39,2225327.0,2226475.0,71.171,71.73083067092654,It began with the,25,forging
40,2226516.0,2226822.0,71.751,71.89166134185308,It began with the forging,28,of
41,2226824.0,2227194.0,71.90863578274762,72.08153354632584,It began with the forging of,32,the
42,2227222.0,2228110.0,72.09514376996802,72.53,It began with the forging of the,38,Great
43,2228112.0,2229416.0,72.531,73.1684664536741,It began with the forging of the Great,44,Rings
44,2231325.0,2232383.0,74.10223642172524,74.60143769968049,,5,Three
45,2232368.0,2232635.0,74.59424920127796,74.74313099041537,Three,10,were
46,2232625.0,2233225.0,74.73801916932908,75.02955271565492,Three were,16,given
47,2233225.0,2233483.0,75.02955271565492,75.15511182108618,Three were given,19,to
48,2233479.0,2233718.0,75.15335463258786,75.27140575079876,Three were given to,23,the
49,2233718.0,2234999.0,75.27156549520767,75.8889776357827,Three were given to the,29,elves
50,2235894.0,2237252.0,76.32587859424912,76.9974440894568,Three were given to the elves,38,immortal
51,2237681.0,2238865.0,77.20447284345042,77.76964856230026,Three were given to the elves immortal,45,wisest
52,2238879.0,2239120.0,77.77635782747605,77.9039936102237,Three were given to the elves immortal wisest,49,and
53,2239114.0,2240323.0,77.90095846645367,78.50015974440886,Three were given to the elves immortal wisest and,57,fairest
54,2240319.0,2240544.0,78.49840255591053,78.60798722044727,Three were given to the elves immortal wisest and fairest,60,of
55,2240555.0,2241285.0,78.61341853035134,78.96150159744398,Three were given to the elves immortal wisest and fairest of,64,all
56,2241279.0,2242573.0,78.95846645367412,79.5747603833866,Three were given to the elves immortal wisest and fairest of all,71,beings
57,2246561.0,2247845.0,81.53993610223637,82.16054313099029,Three were given to the elves immortal wisest and fairest of all beings,77,seven
58,2248109.0,2248336.0,82.2875399361022,82.40670926517565,Three were given to the elves immortal wisest and fairest of all beings seven,80,to
59,2248354.0,2248551.0,82.41533546325884,82.49504792332277,Three were given to the elves immortal wisest and fairest of all beings seven to,84,the
60,2248538.0,2249256.0,82.4888178913738,82.85702875399349,Three were given to the elves immortal wisest and fairest of all beings seven to the,90,dwarf
61,2249300.0,2250323.0,82.87859424920121,83.3618210862619,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf,96,lords
62,2252269.0,2252820.0,84.31309904153355,84.59185303514374,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords,102,great
63,2252805.0,2254181.0,84.58466453674122,85.25527156549512,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great,109,miners
64,2254182.0,2254757.0,85.2555910543131,85.54616613418517,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners,113,and
65,2254758.0,2256165.0,85.54632587859425,86.22635782747582,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and,123,craftsmen
66,2256160.0,2256381.0,86.22364217252397,86.32364217252396,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen,126,of
67,2256381.0,2256531.0,86.32364217252396,86.39696485623011,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of,130,the
68,2256536.0,2257341.0,86.39936102236422,86.80894568690096,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the,139,mountain
69,2257340.0,2258676.0,86.80830670926518,87.4448881789136,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain,145,halls
70,2262293.0,2262803.0,89.22044728434504,89.46309904153354,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls,149,and
71,2262803.0,2263742.0,89.46325878594249,89.92204472843439,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and,154,nine
72,2265231.0,2266157.0,90.65814696485624,91.11054313099044,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine,159,nine
73,2266290.0,2267153.0,91.1757188498402,91.58865814696476,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine,165,rings
74,2267189.0,2267441.0,91.59744408945689,91.7367412140576,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings,170,were
75,2267437.0,2268345.0,91.73482428115015,92.16261980830669,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were,177,gifted
76,2268352.0,2268516.0,92.16613418530352,92.2629392971246,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted,180,to
77,2268514.0,2268814.0,92.26198083067092,92.39920127795529,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to,184,the
78,2268821.0,2269452.0,92.40255591054311,92.71757188498393,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the,189,race
79,2269448.0,2269787.0,92.71565495207668,92.86677316293924,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race,192,of
80,2269778.0,2270533.0,92.8626198083067,93.24904153354608,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of,196,men
81,2271810.0,2272082.0,93.87220447284344,93.99664536741216,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men,200,who
82,2272109.0,2272800.0,94.00958466453672,94.33945686900957,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men who,206,above
83,2272870.0,2273418.0,94.3738019169329,94.64201277955272,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men who above,210,all
84,2273412.0,2274491.0,94.63897763578277,95.18083067092653,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men who above all,215,else
85,2275498.0,2276467.0,95.6741214057508,96.1402555910543,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men who above all else,222,desire
86,2276467.0,2277891.0,96.1405750798722,96.82827476038332,Three were given to the elves immortal wisest and fairest of all beings seven to the dwarf lords great miners and craftsmen of the mountain halls and nine nine rings were gifted to the race of men who above all else desire,228,power
87,2281996.0,2282317.0,98.84984025559103,98.99984025559104,,3,For
88,2282317.0,2282987.0,98.99984025559104,99.31900958466451,For,10,within
89,2283002.0,2283561.0,99.32587859424912,99.6078274760383,For within,16,these
90,2283553.0,2284297.0,99.60383386581468,99.96884984025556,For within these,22,rings
91,2284295.0,2284770.0,99.96805111821088,100.18194888178908,For within these rings,26,was
92,2284770.0,2285343.0,100.18210862619809,100.48003194888176,For within these rings was,32,bound
93,2285341.0,2285444.0,100.47923322683708,100.52699680511192,For within these rings was bound,36,the
94,2285438.0,2286698.0,100.52396166134186,101.12523961661334,For within these rings was bound the,45,strength
95,2286683.0,2287277.0,101.1182108626198,101.40878594249192,For within these rings was bound the strength,49,and
96,2287271.0,2287994.0,101.40575079872204,101.76549520766768,For within these rings was bound the strength and,54,will
97,2288003.0,2288384.0,101.7699680511182,101.9626198083066,For within these rings was bound the strength and will,57,to
98,2288389.0,2289177.0,101.96485623003196,102.34472843450472,For within these rings was bound the strength and will to,64,govern
99,2289178.0,2290044.0,102.34504792332268,102.7654952076676,For within these rings was bound the strength and will to govern,69,each
100,2290033.0,2291077.0,102.76038338658148,103.2734824281149,For within these rings was bound the strength and will to govern each,74,race
101,2295846.0,2296306.0,105.59424920127796,105.83051118210857,,3,But
102,2296293.0,2296577.0,105.82428115015976,105.96038338658154,But,8,they
103,2296573.0,2296919.0,105.95846645367412,106.1201277955272,But they,13,were
104,2296915.0,2297428.0,106.1182108626198,106.3768370607028,But they were,17,all
105,2297428.0,2297801.0,106.37699680511182,106.55047923322677,But they were all,20,of
106,2297806.0,2298267.0,106.55271565495208,106.7878594249201,But they were all of,25,them
107,2298981.0,2300937.0,107.12779552715656,108.08370607028748,But they were all of them,34,deceived
108,2302836.0,2303176.0,109.01277955271566,109.1787539936102,But they were all of them deceived,38,for
109,2303176.0,2304381.0,109.17891373801918,109.75894568690074,But they were all of them deceived for,46,another
110,2304390.0,2305181.0,109.76357827476038,110.15846645367397,But they were all of them deceived for another,51,ring
111,2305171.0,2305496.0,110.15335463258786,110.30335463258788,But they were all of them deceived for another ring,55,was
112,2305496.0,2306433.0,110.30335463258788,110.76214057507973,But they were all of them deceived for another ring was,60,made
113,2308946.0,2309179.0,112.0,112.11277955271564,,2,In
114,2309175.0,2309398.0,112.11182108626198,112.21070287539942,In,6,the
115,2309398.0,2310176.0,112.21086261980832,112.59936102236414,In the,11,land
116,2310172.0,2310373.0,112.59744408945689,112.69744408945688,In the land,14,of
117,2310373.0,2311869.0,112.69744408945688,113.41916932907353,In the land of,21,Mordor
118,2312341.0,2312543.0,113.65814696485624,113.75814696485622,In the land of Mordor,24,in
119,2312543.0,2312764.0,113.75814696485622,113.85702875399366,In the land of Mordor in,28,the
120,2312755.0,2314221.0,113.85303514376996,114.57268370606997,In the land of Mordor in the,34,fires
121,2314298.0,2314681.0,114.61022364217251,114.7932907348242,In the land of Mordor in the fires,37,of
122,2314679.0,2315593.0,114.7923322683706,115.24696485622982,In the land of Mordor in the fires of,43,Mount
123,2315598.0,2316719.0,115.24920127795528,115.7910543130989,In the land of Mordor in the fires of Mount,48,Doom
124,2317173.0,2317452.0,116.01916932907348,116.15638977635784,In the land of Mordor in the fires of Mount Doom,52,the
125,2317445.0,2318374.0,116.15335463258786,116.60575079872189,In the land of Mordor in the fires of Mount Doom the,57,dark
126,2318370.0,2318929.0,116.60383386581468,116.88690095846631,In the land of Mordor in the fires of Mount Doom the dark,62,lord
127,2318912.0,2320425.0,116.87859424920129,117.6067092651756,In the land of Mordor in the fires of Mount Doom the dark lord,69,Sauron
128,2320494.0,2321593.0,117.6261980830671,118.17859424920128,In the land of Mordor in the fires of Mount Doom the dark lord Sauron,76,forged
129,2321607.0,2321947.0,118.185303514377,118.34600638977628,In the land of Mordor in the fires of Mount Doom the dark lord Sauron forged,79,in
130,2321938.0,2323043.0,118.34185303514376,118.88146964856207,In the land of Mordor in the fires of Mount Doom the dark lord Sauron forged in,86,secret
131,2323514.0,2323816.0,119.12140575079871,119.25127795527152,In the land of Mordor in the fires of Mount Doom the dark lord Sauron forged in secret,88,a
