original_index,est_idx,est_end_idx,start,end
0,126174.0,126557.0,47.15,47.32000000000001
1,126559.0,126743.0,47.321000000000005,47.42000000000001
2,126745.0,127320.0,47.42100000000001,47.710000000000015
3,127520.0,128051.0,47.791,48.06
4,128053.0,128686.0,48.061,48.35999999999999
5,129693.0,129955.0,48.87,48.99
6,129958.0,130059.0,48.991,49.040000000000006
7,130061.0,130206.0,49.041,49.120000000000005
8,130269.0,130839.0,49.151,49.42
9,130841.0,131839.0,49.421,49.91
10,131902.0,132065.0,49.941,50.02
11,132067.0,132554.0,50.021,50.250000000000014
12,132641.0,132946.0,50.311,50.45
13,132946.0,133951.0,50.45,50.940894568690105
14,137960.0,138354.0,52.9,53.09249201277957
15,138927.0,139192.0,53.364217252396166,53.50255591054313
16,139262.0,139635.0,53.53674121405751,53.72699680511184
18,139723.0,139958.0,53.77029712460067,53.86763578274759
19,139965.0,141155.0,53.871,54.46153354632587
20,148387.0,148499.0,57.99361022364218,58.04776357827478
21,148493.0,148656.0,58.04472843450479,58.12539936102237
23,148799.0,149365.0,58.20447284345048,58.47140575079873
24,149478.0,149612.0,58.52715654952077,58.59255591054316
25,149616.0,149812.0,58.594249201277954,58.69856230031948
26,150020.0,150424.0,58.8,58.99000000000001
27,150426.0,150815.0,58.99100000000001,59.18
28,150817.0,151285.0,59.181,59.41
29,152207.0,152589.0,59.85,60.03
30,152591.0,152712.0,60.031,60.09000000000001
31,152763.0,153271.0,60.13100000000001,60.370000000000005
32,153273.0,153540.0,60.371,60.510000000000005
33,153542.0,154213.0,60.51100000000001,60.83140575079873
34,154221.0,213656.0,60.834984025559145,61.00000000000001
36,213658.0,214003.0,61.001000000000005,61.17000000000001
37,214005.0,214704.0,61.17100000000001,61.51
38,215372.0,215579.0,61.83,61.94
39,215581.0,215847.0,61.941,62.07
40,215849.0,216012.0,62.071,62.150000000000006
41,216014.0,216379.0,62.151,62.32000000000001
42,216381.0,216849.0,62.321000000000005,62.56
43,216931.0,217173.0,62.60000000000001,62.71
44,217175.0,218157.0,62.711,63.18999999999997
45,221452.0,221941.0,64.8,65.03
46,222268.0,222456.0,65.19,65.29
47,222458.0,222680.0,65.291,65.39999999999996
48,222846.0,223459.0,65.481,65.78000000000002
49,224381.0,224649.0,66.23,66.36
50,224651.0,224930.0,66.361,66.48999999999997
52,225075.0,225404.0,66.561,66.72999999999999
53,225406.0,225568.0,66.73099999999998,66.80999999999999
54,225570.0,226287.0,66.81099999999998,67.16999999999996
55,226289.0,226366.0,67.17099999999996,67.19999999999997
56,226450.0,226673.0,67.24099999999999,67.34999999999998
57,226794.0,227127.0,67.40999999999998,67.58
58,227129.0,227303.0,67.581,67.64999999999999
59,227305.0,228210.0,67.65099999999998,68.10999999999993
60,229146.0,229315.0,68.54888178913737,68.65
61,229475.0,229699.0,68.71809265175719,68.8270926517572
62,229828.0,230563.0,68.8898402555911,69.25
63,230984.0,231152.0,69.45693290734826,69.54693290734825
65,231154.0,231427.0,69.5479329073483,69.68095846645377
66,231568.0,232141.0,69.74099999999999,70.02999999999997
67,232143.0,232548.0,70.03099999999996,70.21999999999997
68,232550.0,233079.0,70.22099999999998,70.48
