original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,652057.0,652887.0,12.87754287993618,13.283905065815723,,5,Hello
1,652894.0,653989.0,13.287594734742722,13.819485440765868,Hello,13,Dorothy
2,732015.0,732905.0,51.92,52.34,,2,Hi
3,733395.0,733935.0,52.58,52.86,,7,Welcome
4,733980.0,734249.0,52.88174192261667,52.9964738731552,Welcome,10,to
5,734407.0,735325.0,53.07372955723974,53.52,Welcome to,17,Sesame
6,735327.0,736137.0,53.521,53.92,Welcome to Sesame,24,Street
7,737193.0,737501.0,54.43404467491027,54.58489828480255,,4,This
8,737504.0,737586.0,54.5863581970483,54.62572796170728,This,7,is
9,737587.0,737976.0,54.62624650977265,54.81721180694064,This is,11,gon
11,737975.0,738218.0,54.81671719186279,54.951595532508975,This is gon na,17,be
12,738217.0,738902.0,54.951,55.27,This is gon na be,21,fun
13,739231.0,739702.0,55.43,55.66,,2,My
14,739704.0,740481.0,55.661,56.04,My,9,friend
15,740483.0,740665.0,56.041,56.13,My friend,13,the
16,740667.0,742068.0,56.131,56.832987634623024,My friend the,17,cow
17,742834.0,743497.0,57.19,57.53,My friend the cow,21,has
18,743499.0,743755.0,57.531,57.64,My friend the cow has,23,a
19,743757.0,744232.0,57.641,57.889238133227,My friend the cow has a,28,joke
20,745929.0,746111.0,58.70283207020344,58.80710011966496,,4,Come
21,746110.0,746690.0,58.80654168328681,59.07407259672915,Come,7,on
22,746740.0,747235.0,59.098201037096175,59.34,Come on,11,Big
23,747237.0,747625.0,59.341,59.53,Come on Big,16,Bird
24,747627.0,747889.0,59.531,59.66,Come on Big Bird,19,we're
26,747892.0,748400.0,59.661,59.91,Come on Big Bird we're,28,about
27,748403.0,748607.0,59.911,60.01,Come on Big Bird we're about,31,to
28,748609.0,749078.0,60.011,60.24,Come on Big Bird we're about to,36,sing
29,749080.0,749283.0,60.241,60.34,Come on Big Bird we're about to sing,38,a
30,749285.0,750368.0,60.341,60.87,Come on Big Bird we're about to sing a,43,song
31,750860.0,751494.0,61.11,61.42,,2,Oh
32,751617.0,751883.0,61.48,61.61,Oh,5,in
33,751885.0,751985.0,61.611,61.66,Oh in,7,a
34,751987.0,752421.0,61.661,61.87370961308336,Oh in a,14,minute
35,752416.0,753929.0,61.871392102114086,62.61,Oh in a minute,20,Maria
36,755665.0,756126.0,63.45751894694849,63.68304746709208,,4,Okay
37,756898.0,757185.0,64.06,64.2,Okay,9,tell
38,757187.0,757511.0,64.201,64.36,Okay tell,14,your
39,757513.0,758288.0,64.361,64.74,Okay tell your,19,joke
40,758808.0,759457.0,64.99372955723975,65.31083366573591,,4,Okay
41,762876.0,763428.0,66.98045472676506,67.25011966493817,,3,How
42,763545.0,763678.0,67.3075388911049,67.37243717590741,How,6,do
43,763681.0,763992.0,67.3740327084164,67.5240327084164,How do,10,you
44,764028.0,764688.0,67.54159553250898,67.87999999999997,How do you,15,make
45,764690.0,764924.0,67.881,67.98,How do you make,17,a
46,764926.0,766506.0,67.981,68.75283605903465,How do you make a,27,milkshake
47,769426.0,770183.0,70.18,70.55,,3,Gee
48,770185.0,770370.0,70.551,70.64,Gee,5,I
49,770372.0,770839.0,70.641,70.87,Gee I,8,don't
51,770841.0,771881.0,70.871,71.38,Gee I don't,16,know
52,773176.0,773871.0,72.01196649381731,72.35077782209808,,4,Like
53,773879.0,774896.0,72.35500598324691,72.85177502991627,Like,9,this
54,775392.0,775921.0,73.07778220981255,73.35277223773437,,4,Milk
55,775923.0,776435.0,73.35380933386517,73.60380933386517,Milk,10,shake
56,776435.0,776956.0,73.60380933386517,73.85965297167925,Milk shake,15,milk
57,776956.0,777521.0,73.8595931392102,74.13402473075391,Milk shake milk,21,shake
58,777525.0,777931.0,74.13641802951736,74.33641802951736,Milk shake milk shake,26,milk
59,777993.0,778386.0,74.36673314718786,74.55610291184682,Milk shake milk shake milk,32,shake
60,778566.0,778971.0,74.64379736737136,74.84379736737137,Milk shake milk shake milk shake,37,milk
61,778971.0,779486.0,74.84379736737137,75.09379736737137,Milk shake milk shake milk shake milk,43,shake
62,779486.0,779892.0,75.09379736737137,75.29379736737137,Milk shake milk shake milk shake milk shake,48,milk
63,779892.0,780440.0,75.29379736737137,75.54379736737137,Milk shake milk shake milk shake milk shake milk,54,shake
64,780440.0,780813.0,75.54379736737137,75.74379736737137,Milk shake milk shake milk shake milk shake milk shake,59,milk
65,780813.0,781324.0,75.74379736737137,75.99379736737137,Milk shake milk shake milk shake milk shake milk shake milk,65,shake
66,783496.0,784043.0,77.05384922217792,77.32086158755486,Milk shake milk shake milk shake milk shake milk shake milk shake,70,milk
67,784045.0,784593.0,77.32189868368567,77.57189868368567,Milk shake milk shake milk shake milk shake milk shake milk shake milk,76,shake
68,784593.0,784967.0,77.57189868368567,77.77189868368568,Milk shake milk shake milk shake milk shake milk shake milk shake milk shake,81,milk
