original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,3539685.0,3540091.0,87.65638977635783,87.8363897763578,,4,Life
1,3540080.0,3540955.0,87.83099999999997,88.27792332268375,Life,15,Foundation
2,3540992.0,3542040.0,88.29623003194891,88.79,Life Foundation,23,Control
3,3542042.0,3542349.0,88.791,88.94999999999999,Life Foundation Control,28,this
4,3542351.0,3542616.0,88.951,89.08,Life Foundation Control this,31,is
5,3542618.0,3543700.0,89.09,89.61817891373805,Life Foundation Control this is,35,LF1
6,3544000.0,3544155.0,89.74776357827477,89.83999999999999,,3,The
7,3544157.0,3545372.0,89.84099999999998,90.42680511182108,The,13,specimens
8,3545381.0,3545685.0,90.43099999999998,90.57999999999998,The specimens,17,are
9,3545687.0,3546505.0,90.58099999999996,90.97999999999998,The specimens are,25,secured
10,3546507.0,3546767.0,90.98099999999998,91.1,The specimens are secured,29,and
11,3546767.0,3547051.0,91.09999999999998,91.24,The specimens are secured and,32,we're
13,3547053.0,3547521.0,91.241,91.48,The specimens are secured and we're,43,heading
14,3547523.0,3548058.0,91.481,91.75,The specimens are secured and we're heading,48,home
15,3549487.0,3549998.0,92.44,92.67999999999998,,5,Roger
16,3549998.0,3550998.0,92.6800958466454,93.17,Roger,9,LF1
17,3551000.0,3551369.0,93.171,93.35,,3,You
18,3551371.0,3551565.0,93.351,93.44999999999996,You,7,are
19,3551567.0,3552021.0,93.45099999999998,93.67,You are,9,a
20,3552023.0,3552492.0,93.671,93.89,You are a,12,go
21,3552494.0,3552769.0,93.891,94.04,You are a go,16,for
22,3552771.0,3553893.0,94.041,94.59725239616613,You are a go for,24,reentry
23,3554602.0,3555072.0,94.94,95.16,,4,Copy
24,3555067.0,3555494.0,95.15780511182108,95.3668051118211,Copy,9,that
25,3555849.0,3556973.0,95.54955271565494,96.0970926517572,,10,Initiating
26,3556985.0,3558123.0,96.10300319488825,96.64207667731633,Initiating,18,reentry
27,3558112.0,3559575.0,96.63668690095852,97.36,Initiating reentry,27,sequence
28,3560269.0,3560831.0,97.69968051118212,97.9656549520767,,5,Point
29,3560836.0,3561780.0,97.96805111821088,98.44600638977631,Point,10,four
30,3561940.0,3562375.0,98.52153354632588,98.73,Point four,13,by
31,3562529.0,3562743.0,98.80511182108626,98.9167731629393,Point four by,17,one
32,3562744.0,3563108.0,98.91693290734824,99.0787539936102,Point four by one,19,o
33,3563098.0,3563737.0,99.073482428115,99.3777955271565,Point four by one o,25,three
34,3563934.0,3564428.0,99.48242811501594,99.73242811501594,Point four by one o three,31,point
35,3565730.0,3565971.0,100.37,100.48,,2,Oh
36,3565973.0,3567210.0,100.481,101.08309904153354,Oh,7,shit
37,3568429.0,3568720.0,101.68690095846644,101.82939297124604,,4,Seal
38,3568722.0,3568822.0,101.83067092651756,101.87955271565498,Seal,7,it
39,3568827.0,3569039.0,101.88178913738018,101.97747603833866,Seal it,11,off
40,3571322.0,3572226.0,103.09265175718848,103.53658146964855,,3,LF1
41,3572424.0,3572968.0,103.63258785942494,103.88993610223652,LF1,11,mission
42,3572968.0,3573775.0,103.88984025559112,104.3,LF1 mission,19,Control
43,3573777.0,3574178.0,104.301,104.49,,3,You're
45,3574180.0,3574815.0,104.491,104.80999999999996,You're,15,breaking
46,3574817.0,3575076.0,104.81099999999998,104.91999999999996,You're breaking,18,up
47,3575246.0,3575812.0,105.011,105.28,,6,Please
48,3575814.0,3576406.0,105.281,105.58015974440896,Please,13,repeat
49,3578518.0,3579087.0,106.61022364217251,106.88146964856234,,6,Mayday
50,3580719.0,3581334.0,107.68690095846644,107.98690095846644,Mayday,13,mayday
51,3582253.0,3583199.0,108.42811501597444,108.89121405750798,,3,LF1
52,3583371.0,3583903.0,108.98402555910543,109.2349840255591,LF1,11,Mission
53,3583912.0,3584608.0,109.23961661341856,109.58961661341856,LF1 Mission,19,control
54,3585213.0,3585690.0,109.89071246006394,110.11709265175718,LF1 Mission control,26,Please
55,3585696.0,3586458.0,110.12,110.4824920127796,LF1 Mission control Please,33,repeat
56,3589568.0,3590481.0,112.01277955271566,112.45031948881788,,3,LF1
57,3590654.0,3591200.0,112.53993610223642,112.80047923322688,LF1,11,Mission
58,3591203.0,3591789.0,112.80191693290736,113.09440894568694,LF1 Mission,19,control
59,3592140.0,3592624.0,113.2523961661342,113.48849840255596,LF1 Mission control,26,please
60,3592624.0,3593222.0,113.4888178913738,113.7888178913738,LF1 Mission control please,33,repeat
