original_index,est_idx,est_end_idx,start,end,context,char_in_sentence,full_word
0,245234.0,245583.0,47.15,47.32000000000001,,4,This
1,245585.0,245805.0,47.321000000000005,47.42000000000001,This,7,is
2,245807.0,246384.0,47.42100000000001,47.710000000000015,This is,13,Agent
3,246549.0,247116.0,47.791,48.06,This is Agent,20,Leland
4,247118.0,247713.0,48.061,48.35999999999999,This is Agent Leland,26,Turbo
5,248756.0,249019.0,48.87,48.99,,1,I
6,249022.0,249083.0,48.991,49.040000000000006,I,6,have
7,249085.0,249267.0,49.041,49.120000000000005,I have,8,a
8,249330.0,249894.0,49.151,49.42,I have a,14,flash
9,249896.0,250900.0,49.421,49.91,I have a flash,27,transmission
10,250963.0,251126.0,49.941,50.02,I have a flash transmission,31,for
11,251128.0,251613.0,50.021,50.250000000000014,I have a flash transmission for,37,Agent
12,251702.0,251968.0,50.311,50.45,I have a flash transmission for Agent,42,Finn
13,251968.0,252978.0,50.45,50.940894568690105,I have a flash transmission for Agent Finn,52,McMissile
14,257019.0,257412.0,52.9,53.09249201277957,,4,Finn
15,257947.0,258249.0,53.364217252396166,53.50255591054313,Finn,7,my
16,258320.0,258727.0,53.53674121405751,53.72699680511184,Finn my,13,cover's
18,258815.0,258983.0,53.77029712460067,53.86763578274759,Finn my cover's,20,been
19,258990.0,260214.0,53.871,54.46153354632587,Finn my cover's been,32,compromised
20,267442.0,267545.0,57.99361022364218,58.04776357827478,,3,You
21,267539.0,267708.0,58.04472843450479,58.12539936102237,You,6,won't
23,267887.0,268413.0,58.20447284345048,58.47140575079873,You won't,17,believe
24,268531.0,268665.0,58.52715654952077,58.59255591054316,You won't believe,22,what
25,268669.0,268894.0,58.594249201277954,58.69856230031948,You won't believe what,24,I
26,269102.0,269474.0,58.8,58.99000000000001,You won't believe what I,30,found
27,269476.0,269866.0,58.99100000000001,59.18,You won't believe what I found,34,out
28,269868.0,270336.0,59.181,59.41,You won't believe what I found out,39,here
29,271253.0,271639.0,59.85,60.03,,4,This
30,271641.0,271762.0,60.031,60.09000000000001,This,7,is
31,271816.0,272317.0,60.13100000000001,60.370000000000005,This is,14,bigger
32,272319.0,272586.0,60.371,60.510000000000005,This is bigger,19,than
33,272588.0,273259.0,60.51100000000001,60.83140575079873,This is bigger than,28,anything
34,273267.0,273624.0,60.834984025559145,61.00000000000001,This is bigger than anything,31,we've
36,273626.0,273971.0,61.001000000000005,61.17000000000001,This is bigger than anything we've,39,ever
37,273973.0,274633.0,61.17100000000001,61.51,This is bigger than anything we've ever,44,seen
