start,end,est_idx,est_end_idx
473.47021484375,474.47021484375,969667,971715
473.97021484375,474.97021484375,970691,972739
474.47021484375,475.47021484375,971715,973763
513.07373046875,514.07373046875,1050775,1052823
513.57373046875,514.57373046875,1051799,1053847
514.07373046875,515.07373046875,1052823,1054871
514.57373046875,515.57373046875,1053847,1055895
515.07373046875,516.07373046875,1054871,1056919
515.57373046875,516.57373046875,1055895,1057943
562.19091796875,563.19091796875,1151367,1153415
562.69091796875,563.69091796875,1152391,1154439
623.3681640625,624.3681640625,1276658,1278706
623.8681640625,624.8681640625,1277682,1279730
642.4326171875,643.4326171875,1315702,1317750
642.9326171875,643.9326171875,1316726,1318774
643.4326171875,644.4326171875,1317750,1319798
643.9326171875,644.9326171875,1318774,1320822
644.4326171875,645.4326171875,1319798,1321846
644.9326171875,645.9326171875,1320822,1322870
645.4326171875,646.4326171875,1321846,1323894
645.9326171875,646.9326171875,1322870,1324918
646.4326171875,647.4326171875,1323894,1325942
646.9326171875,647.9326171875,1324918,1326966
647.4326171875,648.4326171875,1325942,1327990
647.9326171875,648.9326171875,1326966,1329014
648.4326171875,649.4326171875,1327990,1330038
648.9326171875,649.9326171875,1329014,1331062
649.4326171875,650.4326171875,1330038,1332086
649.9326171875,650.9326171875,1331062,1333110
650.4326171875,651.4326171875,1332086,1334134
650.9326171875,651.9326171875,1333110,1335158
651.4326171875,652.4326171875,1334134,1336182
651.9326171875,652.9326171875,1335158,1337206
652.4326171875,653.4326171875,1336182,1338230
652.9326171875,653.9326171875,1337206,1339254
653.4326171875,654.4326171875,1338230,1340278
653.9326171875,654.9326171875,1339254,1341302
654.4326171875,655.4326171875,1340278,1342326
654.9326171875,655.9326171875,1341302,1343350
700.3134765625,701.3134765625,1434242,1436290
700.8134765625,701.8134765625,1435266,1437314
701.3134765625,702.3134765625,1436290,1438338
701.8134765625,702.8134765625,1437314,1439362
702.3134765625,703.3134765625,1438338,1440386
702.8134765625,703.8134765625,1439362,1441410
703.3134765625,704.3134765625,1440386,1442434
703.8134765625,704.8134765625,1441410,1443458
704.3134765625,705.3134765625,1442434,1444482
704.8134765625,705.8134765625,1443458,1445506
705.3134765625,706.3134765625,1444482,1446530
705.8134765625,706.8134765625,1445506,1447554
706.3134765625,707.3134765625,1446530,1448578
769.51025390625,770.51025390625,1575957,1578005
770.01025390625,771.01025390625,1576981,1579029
770.51025390625,771.51025390625,1578005,1580053
771.01025390625,772.01025390625,1579029,1581077
771.51025390625,772.51025390625,1580053,1582101
772.01025390625,773.01025390625,1581077,1583125
772.51025390625,773.51025390625,1582101,1584149
773.01025390625,774.01025390625,1583125,1585173
773.51025390625,774.51025390625,1584149,1586197
774.01025390625,775.01025390625,1585173,1587221
774.51025390625,775.51025390625,1586197,1588245
775.01025390625,776.01025390625,1587221,1589269
783.19482421875,784.19482421875,1603983,1606031
783.69482421875,784.69482421875,1605007,1607055
784.19482421875,785.19482421875,1606031,1608079
926.75,927.75,1897984,1900032
927.25,928.25,1899008,1901056
927.75,928.75,1900032,1902080
928.25,929.25,1901056,1903104
928.75,929.75,1902080,1904128
929.25,930.25,1903104,1905152
929.75,930.75,1904128,1906176
930.25,931.25,1905152,1907200
930.75,931.75,1906176,1908224
931.25,932.25,1907200,1909248
931.75,932.75,1908224,1910272
932.25,933.25,1909248,1911296
932.75,933.75,1910272,1912320
933.25,934.25,1911296,1913344
933.75,934.75,1912320,1914368
934.25,935.25,1913344,1915392
951.17578125,952.17578125,1948008,1950056
951.67578125,952.67578125,1949032,1951080
952.17578125,953.17578125,1950056,1952104
952.67578125,953.67578125,1951080,1953128
965.90380859375,966.90380859375,1978171,1980219
966.40380859375,967.40380859375,1979195,1981243
966.90380859375,967.90380859375,1980219,1982267
967.40380859375,968.40380859375,1981243,1983291
967.90380859375,968.90380859375,1982267,1984315
968.40380859375,969.40380859375,1983291,1985339
968.90380859375,969.90380859375,1984315,1986363
969.40380859375,970.40380859375,1985339,1987387
969.90380859375,970.90380859375,1986363,1988411
970.40380859375,971.40380859375,1987387,1989435
970.90380859375,971.90380859375,1988411,1990459
971.40380859375,972.40380859375,1989435,1991483
971.90380859375,972.90380859375,1990459,1992507
972.40380859375,973.40380859375,1991483,1993531
972.90380859375,973.90380859375,1992507,1994555
973.40380859375,974.40380859375,1993531,1995579
973.90380859375,974.90380859375,1994555,1996603
974.40380859375,975.40380859375,1995579,1997627
974.90380859375,975.90380859375,1996603,1998651
975.40380859375,976.40380859375,1997627,1999675
975.90380859375,976.90380859375,1998651,2000699
976.40380859375,977.40380859375,1999675,2001723
976.90380859375,977.90380859375,2000699,2002747
977.40380859375,978.40380859375,2001723,2003771
977.90380859375,978.90380859375,2002747,2004795
978.40380859375,979.40380859375,2003771,2005819
999.36181640625,1000.36181640625,2046693,2048741
999.86181640625,1000.86181640625,2047717,2049765
1000.36181640625,1001.36181640625,2048741,2050789
1000.86181640625,1001.86181640625,2049765,2051813
1001.36181640625,1002.36181640625,2050789,2052837
1001.86181640625,1002.86181640625,2051813,2053861
1031.3056640625,1032.3056640625,2112114,2114162
1031.8056640625,1032.8056640625,2113138,2115186
1032.3056640625,1033.3056640625,2114162,2116210
1032.8056640625,1033.8056640625,2115186,2117234
1033.3056640625,1034.3056640625,2116210,2118258
1033.8056640625,1034.8056640625,2117234,2119282
1034.3056640625,1035.3056640625,2118258,2120306
1034.8056640625,1035.8056640625,2119282,2121330
1035.3056640625,1036.3056640625,2120306,2122354
1035.8056640625,1036.8056640625,2121330,2123378
1036.3056640625,1037.3056640625,2122354,2124402
1036.8056640625,1037.8056640625,2123378,2125426
1037.3056640625,1038.3056640625,2124402,2126450
1045.9892578125,1046.9892578125,2142186,2144234
1046.4892578125,1047.4892578125,2143210,2145258
1071.4130859375,1072.4130859375,2194254,2196302
1071.9130859375,1072.9130859375,2195278,2197326
1072.4130859375,1073.4130859375,2196302,2198350
1072.9130859375,1073.9130859375,2197326,2199374
1073.4130859375,1074.4130859375,2198350,2200398
1073.9130859375,1074.9130859375,2199374,2201422
1074.4130859375,1075.4130859375,2200398,2202446
1074.9130859375,1075.9130859375,2201422,2203470
1075.4130859375,1076.4130859375,2202446,2204494
1075.9130859375,1076.9130859375,2203470,2205518
1076.4130859375,1077.4130859375,2204494,2206542
1076.9130859375,1077.9130859375,2205518,2207566
1077.4130859375,1078.4130859375,2206542,2208590
1077.9130859375,1078.9130859375,2207566,2209614
1078.4130859375,1079.4130859375,2208590,2210638
1078.9130859375,1079.9130859375,2209614,2211662
1079.4130859375,1080.4130859375,2210638,2212686
1079.9130859375,1080.9130859375,2211662,2213710
1080.4130859375,1081.4130859375,2212686,2214734
1080.9130859375,1081.9130859375,2213710,2215758
1090.08837890625,1091.08837890625,2232501,2234549
1090.58837890625,1091.58837890625,2233525,2235573
1091.08837890625,1092.08837890625,2234549,2236597
1091.58837890625,1092.58837890625,2235573,2237621
1092.08837890625,1093.08837890625,2236597,2238645
1092.58837890625,1093.58837890625,2237621,2239669
1127.6142578125,1128.6142578125,2309354,2311402
1128.1142578125,1129.1142578125,2310378,2312426
1128.6142578125,1129.6142578125,2311402,2313450
1129.1142578125,1130.1142578125,2312426,2314474
1129.6142578125,1130.6142578125,2313450,2315498
1130.1142578125,1131.1142578125,2314474,2316522
1130.6142578125,1131.6142578125,2315498,2317546
1131.1142578125,1132.1142578125,2316522,2318570
1131.6142578125,1132.6142578125,2317546,2319594
1139.9658203125,1140.9658203125,2334650,2336698
1140.4658203125,1141.4658203125,2335674,2337722
1140.9658203125,1141.9658203125,2336698,2338746
1141.4658203125,1142.4658203125,2337722,2339770
1141.9658203125,1142.9658203125,2338746,2340794
1142.4658203125,1143.4658203125,2339770,2341818
1142.9658203125,1143.9658203125,2340794,2342842
1143.4658203125,1144.4658203125,2341818,2343866
1143.9658203125,1144.9658203125,2342842,2344890
1232.4775390625,1233.4775390625,2524114,2526162
1264.75341796875,1265.75341796875,2590215,2592263
1274.52685546875,1275.52685546875,2610231,2612279
1275.02685546875,1276.02685546875,2611255,2613303
1275.52685546875,1276.52685546875,2612279,2614327
1276.02685546875,1277.02685546875,2613303,2615351
1276.52685546875,1277.52685546875,2614327,2616375
1277.02685546875,1278.02685546875,2615351,2617399
1277.52685546875,1278.52685546875,2616375,2618423
1278.02685546875,1279.02685546875,2617399,2619447
1278.52685546875,1279.52685546875,2618423,2620471
1279.02685546875,1280.02685546875,2619447,2621495
1279.52685546875,1280.52685546875,2620471,2622519
1280.02685546875,1281.02685546875,2621495,2623543
1280.52685546875,1281.52685546875,2622519,2624567
1281.02685546875,1282.02685546875,2623543,2625591
1281.52685546875,1282.52685546875,2624567,2626615
1282.02685546875,1283.02685546875,2625591,2627639
1282.52685546875,1283.52685546875,2626615,2628663
1283.02685546875,1284.02685546875,2627639,2629687
1283.52685546875,1284.52685546875,2628663,2630711
1284.02685546875,1285.02685546875,2629687,2631735
1284.52685546875,1285.52685546875,2630711,2632759
1285.02685546875,1286.02685546875,2631735,2633783
1285.52685546875,1286.52685546875,2632759,2634807
1286.02685546875,1287.02685546875,2633783,2635831
1286.52685546875,1287.52685546875,2634807,2636855
1287.02685546875,1288.02685546875,2635831,2637879
1287.52685546875,1288.52685546875,2636855,2638903
1288.02685546875,1289.02685546875,2637879,2639927
1288.52685546875,1289.52685546875,2638903,2640951
1289.02685546875,1290.02685546875,2639927,2641975
1289.52685546875,1290.52685546875,2640951,2642999
1290.02685546875,1291.02685546875,2641975,2644023
1290.52685546875,1291.52685546875,2642999,2645047
1291.02685546875,1292.02685546875,2644023,2646071
1353.2578125,1354.2578125,2771472,2773520
1353.7578125,1354.7578125,2772496,2774544
1354.2578125,1355.2578125,2773520,2775568
1354.7578125,1355.7578125,2774544,2776592
